ogrodzenia
Nr	X	Y	Z	Hg	Hd
102	5804609.41	6423623.20	78.56
104	5804611.95	6423620.33	78.42
105	5804610.39	6423620.18	78.50
107	5804610.21	6423622.44	78.86
108	5804615.61	6423618.87	78.26
109	5804617.53	6423617.64	78.38
110	5804617.61	6423617.10	78.38
111	5804617.70	6423616.25	78.35
112	5804617.72	6423615.68	78.33
113	5804616.14	6423614.11	78.18
114	5804612.57	6423614.08	78.29
115	5804611.10	6423613.93	78.33
116	5804616.90	6423606.47	78.03
117	5804618.59	6423606.50	78.01
120	5804615.56	6423585.57	77.62
121	5804614.01	6423585.40	77.70
125	5804620.98	6423567.89	77.39
126	5804622.46	6423568.11	77.39
130	5804621.35	6423564.13	77.37
131	5804622.87	6423564.24	77.40
144	5804616.77	6423523.72	77.26
145	5804618.45	6423523.52	77.44
173	5804570.07	6423631.32	78.47
177	5804570.84	6423631.27	78.49
178	5804574.11	6423626.94	78.46
179	5804573.02	6423618.14	78.47
180	5804572.89	6423618.17	78.48
181	5804572.42	6423618.24	78.49
184	5804571.22	6423608.14	78.56
185	5804571.78	6423608.00	78.53
186	5804571.26	6423604.13	78.56
187	5804570.62	6423604.24	78.57
188	5804569.74	6423597.14	78.60
189	5804570.73	6423597.02	78.58
190	5804569.98	6423590.54	78.52
191	5804569.02	6423590.69	78.58
198	5804538.65	6423629.81	78.43
199	5804539.12	6423629.73	78.41
200	5804539.00	6423628.76	78.42
201	5804538.51	6423628.80	78.44
202	5804538.36	6423627.04	78.43
203	5804538.78	6423626.94	78.41
204	5804538.29	6423623.04	78.45
206	5804538.64	6423622.96	78.42
208	5804537.62	6423615.90	78.48
209	5804536.85	6423616.05	78.51
211	5804535.88	6423608.72	78.42
212	5804536.13	6423608.67	78.40
213	5804535.32	6423601.79	78.32
230	5804512.54	6423644.65	78.23
231	5804512.92	6423646.61	78.33
248	5804471.53	6423562.75	77.92
249	5804471.97	6423562.61	77.91
250	5804471.30	6423560.07	77.88
251	5804473.68	6423559.44	77.81
252	5804470.17	6423557.12	77.72
253	5804469.90	6423556.20	77.72
254	5804472.59	6423555.50	77.68
255	5804472.79	6423556.38	77.69
256	5804469.24	6423553.32	77.67
257	5804471.77	6423552.64	77.63
258	5804466.06	6423539.95	77.55
259	5804468.59	6423539.25	77.57
280	5804424.99	6423570.82	77.75
281	5804429.46	6423569.93	77.78
282	5804430.05	6423569.80	77.81
283	5804430.87	6423573.19	77.77
284	5804431.61	6423576.47	77.81
285	5804432.54	6423580.49	77.82
286	5804432.80	6423581.63	77.84
289	5804426.63	6423577.70	77.80
290	5804429.74	6423591.16	77.85
293	5804436.82	6423598.99	77.90
297	5804439.18	6423600.39	77.93
325	5804383.73	6423569.76	77.81
326	5804385.36	6423576.50	77.95
327	5804386.21	6423579.90	78.03
329	5804387.38	6423586.56	77.99
330	5804388.33	6423590.72	78.08
331	5804388.64	6423590.64	78.09
354	5804476.66	6423650.12	78.17
355	5804476.79	6423651.55	78.26
356	5804475.53	6423651.76	78.22
357	5804472.35	6423652.19	78.21
360	5804471.59	6423644.18	78.01
361	5804471.64	6423645.71	78.12
362	5804468.91	6423646.08	78.12
363	5804468.73	6423644.62	78.01
365	5804469.34	6423652.61	78.22
366	5804467.75	6423652.77	78.21
367	5804463.79	6423653.32	78.25
368	5804468.08	6423646.23	78.08
369	5804467.81	6423644.76	78.11
370	5804467.38	6423644.85	78.04
371	5804464.01	6423645.30	78.11
372	5804463.09	6423645.38	78.18
373	5804461.78	6423645.55	78.22
378	5804433.01	6423651.08	78.19
379	5804432.82	6423649.72	78.49
401	5804402.29	6423655.33	78.39
402	5804402.06	6423653.78	77.73
414	5804374.77	6423664.20	78.39
415	5804375.03	6423665.82	78.48

drzewo liœciaste
Nr	X	Y	Z	Hg	Hd
232	5804487.85	6423631.22	78.22
233	5804485.88	6423621.94	78.13
304	5804446.91	6423609.45	77.76
305	5804447.39	6423611.30	77.92
306	5804447.96	6423612.71	77.91

hydrant
Nr	X	Y	Z	Hg	Hd	szkic
172	5804573.78	6423627.04	78.49	78.49
303	5804434.65	6423611.14	77.87	77.87
344	5804395.66	6423611.27	78.11	78.11

kratka œciekowa
Nr	X	Y	Z	Hg	Hd	szkic
74	5804615.66	6423632.02			2
75	5804615.40	6423637.37			2
76	5804607.79	6423639.20			2

jezdnia
Nr	X	Y	Z	Hg	Hd
43	5804593.94	6423316.06	76.18
44	5804594.47	6423315.42	76.17
45	5804599.32	6423319.21	76.33
46	5804598.95	6423319.74	76.32
47	5804598.21	6423319.29	76.25
48	5804595.08	6423316.94	76.23
49	5804594.27	6423316.34	76.21
118	5804617.69	6423598.66	77.73
119	5804617.50	6423598.67	77.87
124	5804620.74	6423567.89	77.40
129	5804621.13	6423564.11	77.39
133	5804621.33	6423558.63	77.35
136	5804620.86	6423554.22	77.39
143	5804616.56	6423523.77	77.25
144	5804616.77	6423523.72	77.26
149	5804612.06	6423529.46	77.37
150	5804611.55	6423525.49	77.30
151	5804612.25	6423524.55	77.32
156	5804605.80	6423531.04	77.26
160	5804616.83	6423527.19	77.24
180	5804572.89	6423618.17	78.48
181	5804572.42	6423618.24	78.49
182	5804572.13	6423612.19	78.51
183	5804571.63	6423612.24	78.52
